company,founded,headquarters,purpose,use
Cambridge Cancer Genomics,2016,"Cambridge, Cambridgeshire, United Kingdom","Determine treatment response and relapse earlier, and use Bayesian adaptive clinical trial design to increase the success of late stage trials",Predict cancer progression from tumor DNA in blood samples
CytoReason,2016,"Tel Aviv, Tel Aviv, Israel","Gain novel insights related to mechanisms of disease, clinical markers, and drug discovery and validation","Organize and standardize immune-related gene, protein, cell, and microbiome data into a single, machine-readable, cell-level view of the immune-system"
DNAnexus,2009,"Mountain View, California, United States","Accelerate target identification, find biomarkers, and develop next-generation therapeutics","Gain insight from large genomic and biomedical datasets, including those shared by a network of organizations"
Empiric Logic,2018,"Dublin, Dublin, Ireland",Gain new insights into drug discovery and support the process of drug repositioning,Analyze genomics and other biomedical data to identify probable causes of rare and common diseases
Euretos,2012,"Utrecht, Utrecht, The Netherlands","Take a translational systems biology approach to drug discovery by connecting multi-omics interactions, through cell-type involvement, to downstream pathways, phenotypes, and disease pathologies","Provide AI-driven contract research services and cloud access to the Euretos AI platform to enable preclinical discovery and clinical validation of targets, biomarkers, and indications"
FDNA,2011,"Boston, Massachusetts, United States","Discover new clinical signs, symptoms, and genes for biomarkers, and access data to develop, test, and market precision medicines",Link phenotypic traits to genetic mutations
OccamzRazor,2015,"San Francisco, California, United States","Have a complete map of Parkinson's disease—the ""Human Parkinsome""—and use it to better understand how the disease works, identify biomarkers, develop new targets, and evaluate treatments",Transform all available data about Parkinson's disease into machine-readable graphs
Phenomic AI,2017,"Toronto, Ontario, Canada",Rapidly and accurately profile single cells in microscopy images,Analyze cell and tissue phenotypes in microscopy data
Precisionlife,2018,"Kidlington, Oxfordshire, United Kingdom","Find novel drug targets in existing datasets, identify drug repurposing opportunities, and improve biomarker-driven patient stratification strategies","Find combinations of genomic, phenotypic, and clinical features that define disease risk, prognosis, and therapy response in a complex disease population"
ReviveMed,2016,"Cambridge, Massachusetts, United States","Find disease pathways, novel drug targets, new therapeutic effects for existing drugs, molecular mechanisms for pharmacological effects, and new biomarkers","Analyze metabolomic data along with other large-scale molecular information such as data from genes, proteins, drugs, and diseases"
Sensyne Health,2018,"Headington, Oxfordshire, United Kingdom",Discern potential new physiological pathways and identify subgroups of patients most likely to respond well to treatments,"Analyze ethically sourced, clinically curated, anonymised patient data from NHS Foundation Trusts"
Shivom,2018,"London, England, United Kingdom",Gain access to and analyze secure DNA data while incentivising and protecting patient confidentiality,Uncover novel insights in genetic and other biological data
Structura Biotechnology,2016,"Toronto, Ontario, Canada","Discover and understand the detailed three-dimensional structure of important protein molecules, complexes, and drug targets",Enable high-throughput structure discovery of proteins and molecular complexes from cryo-EM data
ZebiAI,2019,"Waltham, Massachusetts, United States",Accelerate target validation and discover and optimize clinical candidates,Analyze high quality protein-small molecule interaction data from DNA-encoded library (DEL) screens
Ariana Pharma,2003,"Paris, Ile-de-France, France","Improve identification and validation of biomarker signatures, identify the best patient responder sub-groups and populations at risk of adverse events, and improve clinical trial success rates",Explore complex datasets in order to reveal hidden relationships and to derive new hypotheses
Biodesix,2005,"Broomfield, Colorado, United States",Enable personalized approaches to therapy selection and a better understanding of complex diseases like cancer,Uncover clinically relevant blood-based biomarker patterns and relationships
Biotrillion,2017,"San Francisco, California, United States",Leverage data from nontraditional sensors for digitally enabled clinical trials,"Analyze data from nontraditional sensors such as smartphones, wearables, internet of things devices, and virtual assistants to measure disease development and response to drugs"
Biotx.ai,2017,"Berlin, Berlin, Germany","Predict disease status, stratify patients, and provide decision support in drug development and precision medicine",Reliably find complex patterns in high-dimensionality biomedical data
Eigengene,2016,"Palo Alto, California, United States","Develop personalized prognostics and diagnostics, and novel therapeutics",Analyze cancer whole genome sequencing
Evoke Neuroscience,2009,"New York, New York, United States","Monitor response to Alzheimer's disease treatments, including in clinical trials",Identify unique neural signatures of Alzheimer’s disease in electroencephalography data
Gero,2012,"Singapore, Central Region, Singapore",Measure biological age and investigate interventions to treat aging,Identify biomarkers of aging
Glympse Bio,2015,"Cambridge, Massachusetts, United States",Validate drug-target engagement and determine responders and non-responders in clinical trials,Predict the stage and progression of disease by analyzing data from synthetic biomarker-based liquid biopsies
HistoIndex,2010,"Singapore, Central Region, Singapore",Improve the efficiency and effectiveness of NASH clinical trials,Analyze and quantify nonalcoholic steatohepatitis (NASH) features for treatment efficacy
Paige,2018,"New York, New York, United States",Accelerate cancer biomarker discovery and get new disease insights from decades of pathology data,Analyze pathology slides with models that incorporate diagnoses by the world's foremost cancer experts
Scailyte,2017,"Sursee, Luzern, Switzerland",Discover biomarkers from single-cell data and develop precision diagnostics,Find disease-associated patterns in patient cells
Syntekabio,2009,"Sunnyvale, California, United States",Develop biomarkers and personalized cancer vaccines,Predict neoantigens
Predictive Oncology,2002,"Eagan, Minnesota, United States",Improve clinical outcomes for cancer patients,Build predictive models of tumor drug response
TARA Biosystems,2014,"New York, New York, United States",Predict the physiological effects of different drugs for heart conditions,Generate models from data on mature cardiac tissue engineered from induced-pluripotent stem cells
Acurastem,2016,"Monrovia, California, United States","Discover drugs for neurodenerative diseases, including ALS",Analyze data from sources including patient stem cells
BioXcel Therapeutics,2017,"Branford, Connecticut, United States","Develop a pipeline of product candidates in immuno-oncology, neuroscience, and rare diseases",Find applications for existing approved drugs or clinically validated candidates
Biovista,1999,"Charlottesville, Virginia, United States","Reposition late preclinical stage drugs in multiple sclerosis, mitochondrial diseases, oncology, epilepsy and chronic fatigue syndrome / myalgic encephalopathy","Analyze data to find non-obvious, mechanism-of-action based associations between compounds, molecular targets, and diseases"
Delta 4,2018,"Vienna, Wien, Austria","Reposition existing drugs for novel indications, with the first therapeutic area being an orphan indication leading to terminal kidney failure",Conduct in silico screening prior to experimental screening
Healx,2014,"Cambridge, Cambridgeshire, United Kingdom",Repurpose existing drugs to accelerate treatment of rare diseases,Match existing drugs with rare diseases
Insiliance,2019,"Paris, Ile-de-France, France",Position and reposition CNS drugs,Analyze data from consolidated health databases
Lantern Pharma,2013,"Dallas, Texas, United States",Find clinical uses for validated cancer treatments whose development has been discontinued,Analyze genetic signals and molecular markers for patient response to drugs
Oncocross,2015,"Mapo, Seoul-t'ukpyolsi, South Korea","Develop biomarkers, repurpose drugs, and find novel drugs",Analyze gene expression patterns
Pharnext,2007,"Issy-les-moulineaux, Ile-de-France, France",Identify synergistic combinations of repositioned drugs for diseases with high unmet medical needs,"Screen and reposition known drugs in unrelated indications at new, lower doses"
Qrativ,2017,"Cambridge, Massachusetts, United States",Discover potential rare disease indications and subsets of patients who may respond favorably to an existing drug,Synthesize knowledge from multiple biomedical sources (using nference technology)
Recursion Pharmaceuticals,2013,"Salt Lake City, Utah, United States",Rapidly identify new indications for many known drugs and shelved assets,Conduct experimental biology at scale by testing thousands of compounds on hundreds of cellular disease models in parallel
A2A Pharmaceuticals,2016,"New York, New York, United States","Design novel treatments for diseases including cancer, bacterial infection, and muscular dystrophy",Iterate small molecules to find candidates with optimal properties for a target
AI Therapeutics,2013,"Guilford, Connecticut, United States",Develop precision therapeutics for cancer and rare diseases,"Analyze data from next-gen sequencing, genome editing, chemical genomics, and combinational drug screening to find the most appropriate patients to treat with novel therapeutics"
AbCellera,2012,"Vancouver, British Columbia, Canada",Discover and develop next-generation therapeutic antibodies,Analyze data from multiple sources to identify antibodies with desired properties
Abalone Bio,2017,"Richmond, California, United States",Find functional antibodies for tough targets,Find the best hits in large numbers of antibodies evolved to activate or inhibit a drug target
Adagene,2011,"Suzhou, Jiangsu, China",Develop immuno-oncology antibodies against novel epitopes with unique properties,Generate cross-reactive antibodies targeting evolutionarily conserved epitopes with novel mechanisms of action and excellent developability
Alphanosos,2014,"Goulier, Midi-Pyrenees, France",Develop plant-based compounds that counteract bacterial infection and restore microbiota equilibrium,Predict synergistic plant mixes
Antiverse,2017,"Cardiff, Cardiff, United Kingdom",Generate antibody drug candidates in one day,Predict antibody-antigen binding
Aqemia,2019,"Paris, Ile-de-France, France",Find lead candidates fast and early in a project,"Generate molecules that have high affinity for a target, in conjunction with proprietary statistical mechanics algorithms"
Arbor Biotechnologies,2016,"Cambridge, Massachusetts, United States",Accelerate discovery of proteins for improving human health,Curate and mine gene variants
Ares Genetics,2017,"Vienna, Wien, Austria",Accelerate development of novel antibiotics and combination therapies based on rational drug design and companion diagnostics,"Identify, prioritize, and validate genetic markers of antibiotic resistance"
Arzeda,2008,"Seattle, Washington, United States","Design proteins ""never before seen in nature""",Find correlations and patterns that can be used for protein design
Atomwise,2012,"San Francisco, California, United States",Generate novel drug candidates faster (with a number of candidates already in development with partners),Predict drug candidates by leveraging a convolutional neural network trained on a huge amount of organic chemistry data
Auransa,2014,"Palo Alto, California, United States",Discover compounds designed to most effectively address significant unmet medical needs for clinically meaningful disease subtypes,Generate insights from molecular data for a deep understanding of disease biology and patient subtypes
BenevolentAI,2013,"London, England, United Kingdom",Identify novel drug candidates (via life science-focused subsidiary BenevolentBio),"Ingest scientific research data sets, then form and qualify hypotheses and generate novel insights"
Berg,2006,"Framingham, Massachusetts, United States","Generate therapeutic targets from biological data in an unbiased way, and implement personalized medicine at scale",Analyze data from patient samples in both healthy and diseased states to generate novel biomarkers and therapeutic targets
BigHat Biosciences,2019,"San Carlos, California, United States","Reduce the difficulty of designing antibodies and other therapeutic proteins, and enable novel biotherapeutic designs","Provide the intelligence for an experimental platform that expedites therapeutic antibody development (If you have further details, please let me know in the comments)"
BioAge Labs,2015,"Richmond, California, United States",Develop biomarkers and drugs that impact human aging,Analyze omics data related to aging
BlackThorn Therapeutics,2015,"San Francisco, California, United States",Develop new drugs targeting receptors in dysregulated brain circuits,Generate novel insights into neurobehavioral health from prorietary data sources including brain imaging and functional assessment tools
CaroCure,2017,"Hyderabad, Andhra Pradesh, India","Discover new drugs for oncology, immuno-oncology, cardiology, and infectious disease",Predict toxicity to weed out toxic compounds and increase the efficacy of computational drug discovery
Cellarity,2017,"Cambridge, Massachusetts, United States",Develop medicines by iteratively testing and curating new approaches to manipulate molecular and cellular behaviors,Uncover and exploit unappreciated molecular and cellular behaviors by analyzing digital representations of biology and drug actions
Celsius Therapeutics,2018,"Cambridge, Massachusetts, United States","Understand genes in specific cells that trigger disease, then develop precision treatments for those diseases along with companion biomarker-based diagnostic tools",Analyze data from single-cell RNA sequencing
ChemPass,2016,"Budapest, Budapest, Hungary",Design novel small organic molecules and scaffolds,Generate molecular structures based on user-defined criteria
Cloud Pharmaceuticals,2014,"Durham, North Carolina, United States",Speed drug development with a higher success rate and better targeting of hard-to-drug indications,"Search a virtual chemical space, predict binding affinity and allow filtering for drug-like properties, safety, and synthesizability"
Clover Therapeutics,2016,"Jersey City, New Jersey, United States",Discover strategies or interventions that can form the basis of new therapies for pharma partners,Analyze clinical and genomic data from consenting participants who are members of insurer Clover Health
Collaborations Pharma,2015,"Raleigh, North Carolina, United States",Develop innovative therapeutics for multiple rare and infectious diseases,Filter and score compounds prior to testing
Cotinga Pharmaceuticals,1999,"London, England, United Kingdom",Intervene in pathways that cancer cells use to escape cell death,Predict biological activity from molecular structures
Datavant,2017,"San Francisco, California, United States","Reduce the cost of drug development, and improve the time-to-market and likelihood of success for new drugs",Integrate clinical trial data with real-world evidence and public datasets to eliminate silos of health information
Deep Genomics,2014,"Toronto, Ontario, Canada",Unlock new classes of antisense oligonucleotide therapies,"Search 69 billion molecules with the goal of generating a library of 1,000 compounds to manipulate cell biology"
Denovicon Therapeutics,2019,"San Diego, California, United States","Reduce the time spent and number of compounds synthesized in preclinical research, while reducing the failure rate of moving compounds into clinical trials",Screen compounds for multiple properties to move them toward drug candidacy
Dyno Therapeutics,2018,"Cambridge, Massachusetts, United States",Improve and expand the use of gene therapy by programming capsids with improved functions like precision delivery and immune system evasion,"Predict the function of sequences for adeno-associated virus capsids, which are used as vectors for gene therapy"
Empirico,2017,"San Diego, California, United States","Generate, interrogate, and prioritize high-confidence therapeutic hypotheses",Analyze data from thousands of studies and millions of people
Engine Biosciences,2014,"San Francisco, California, United States",Make analyses and predictions for precision medicine applications,"Uncover gene interactions and biological networks underlying diseases, and test therapies that target them"
EntheogeniX Biosciences,2019,"Wilmington, Delaware, United States","Develop new psychedelic-based drugs for mental health diseases such as depression, bipolar disorder, and schizophrenia",Uncover new medicines from psychedelics (leveraging Cyclica technology)
Envisagenics,2014,"New York, New York, United States",Accelerate discovery of RNA therapeutics,Analyze RNA data from patients to identify new biomarkers and drug targets
Erasca,2018,"San Diego, California, United States","Focus on the most promising strategies to tackle essential oncogenes, accelerating development of oncology drug candidates",Elucidate novel tumor biology and innovative strategies that shut down key cancer pathways
Evaxion Biotech,2008,"Copenhagen, Hovedstaden, Denmark",Program the immune system to fight off diseases from cancers to hard-to-treat infections,Identify suitable targets for vaccines and antibodies in complex immunological data
Exscientia,2012,"Oxford, Oxfordshire, United Kingdom",Generate drug candidates in roughly one-quarter the time of traditional approaches,Learn best-practices from drug discovery data and experienced drug hunters
Fountain Therapeutics,2018,"San Francisco, California, United States",Identify novel targets and potential therapeutics to extend healthy lifespan,Analyze data from a cellular model that recreates complex hallmark features of aging
Frontier Medicines,2018,"San Francisco, California, United States","Accelerate development of medicines that drug ""undruggable"" protein targets",Analyze chemoproteomics data to find temporary binding sites in human proteins and how to selectively target them with new drugs
GT Apeiron Therapeutics,2019,"Shanghai, Shanghai, China","Accelerate development of novel drugs via new pathways to tackle high impact therapeutic targets, with an initial focus on oncology","Do something that isn't entirely clear, based on the limited amount of information GT Apeiron has made public (Do you know more? Please tell me in the comments)"
GTN,2017,"London, England, United Kingdom",Discover molecules otherwise hidden from view,"Simulate, filter, and search for molecules with ""Generative Tensorial Networks"""
Gatehouse Bio,2016,"Waltham, Massachusetts, United States",Identify therapeutic targets and develop companion diagnostics,Illuminate molecular pathways of disease through deep analysis of small RNA
Genesis Therapeutics,2019,"South San Francisco, California, United States",Use neural networks and biophysical simulation to generate and optimize molecules,Accurately predict ADMET properties
Globavir,2011,"Los Altos, California, United States",Leverage existing data to develop therapies (currently focused on infectious disease diagnostics and treatments),"Generate novel insights and predictions from biological data, chemical data, and curated databases of approved drugs"
Gordian Biotechnology,2018,"San Francisco, California, United States",Improve drug development for complex diseases of aging,"Provide the brains for a novel discovery platform (Details are scarce If anyone can provide them, please do)"
Gritstone Oncology,2015,"Emeryville, California, United States","Develop new approaches to drive potent, tumor-specific immune responses that provide therapeutic benefit to a large number of cancer patients",Predict immune targets for cancer immunotherapy using a model trained on extensive human tumor data
Haystack Sciences,2015,"San Francisco, California, United States",Discover new cures for dificult-to-treat disorders,"Analyze large, diverse combinatorial chemical libraries encoded by unique DNA sequences (DNA-encoded libraries)"
Iktos,2016,"Paris, Ile-de-France, France",Improve the success rate of in silico to in vitro translation,Design novel compounds that optimize for specific objectives
Insilico Medicine,2014,"Hong Kong, Hong Kong Island, Hong Kong","Generate novel therapeutic candidates, with a focus on aging and age-related diseases","Predict pharmacological properties of drugs and supplements, and identify novel biomarkers"
Insitro,2018,"South San Francisco, California, United States","Address key problems in the drug discovery and development process (Not clear on their positioning at this point, but recent partnerships suggest they aim to generate drug candidates)","Generate models from large, high-quality datasets"
LabGenius,2012,"London, England, United Kingdom","Develop next-generation protein therapeutics, including by optimizing multiple drug properties simultaneously","Provide the brains for EVA, a smart robotic platform that can design, conduct, and learn from its own experiments"
Lodo Therapeutics,2016,"New York, New York, United States",Address undruggable targets with structurally diverse molecules that have drug-like properties,Find undiscovered molecules encoded in environmental microbial DNA
Menten Biotechnology Labs,2018,"San Francisco, California, United States","Create novel peptide therapeutics, proteins for drug delivery, and enzymes","Optimize activity, specificity, and stability of peptides, proteins, and enzymes"
Micar Innovation,2016,"Sofia, Grad Sofiya, Bulgaria","Create ""build-to-buy"" partnerships, forming startups around new drug discovery programs that pharmaceutical companies can then acquire if successful","Shorten discovery and screening, lead optimization, and ADMET studies"
Mind the Byte,2011,"Barcelona, Catalonia, Spain","Leverage big data and machine learning for every stage of the drug discovery process, from target-identification to post-marketing activities, with no need for their own hardware infrastructure",Analyze data in a SaaS-based bioinformatics platform for computational drug discovery
Nanna Therapeutics,2012,"Cambridge, Cambridgeshire, United Kingdom","Create drugs to treat age-related diseases and improve longevity, with a strong focus on mitochondria","Analyze data from its ""Totally Integrated Medicines Engine"" platform, which also leverages microfluidics and nanofabrication"
Neon Therapeutics,2015,"Cambridge, Massachusetts, United States",Develop novel neoantigen-based therapeutics for cancer,"Identify, predict, and select the most therapeutically relevant neoantigen (newly formed antigen not previously recognized by the immune system) targets associated with a patient’s tumor"
NuMedii,2008,"Menlo Park, California, United States",Find drug candidates and biomarkers predictive of efficacy for diseases,"Discover connections between drugs and diseases at a systems level by analyzing hundreds of millions of raw human, biological, pharmacological, and clinical data points"
Nuritas,2014,"Dublin, Dublin, Ireland",Cost-effectively develop highly targeted treatments for specific diseases from natural food sources,Predict the therapeutic potential of food-derived bioactive peptides
Pharos iBT,2016,"Anyang, Kyonggi-do, South Korea",Develop new drugs for orphan and rare diseases,Predict properties of compounds and enable low-cost and efficient drug development
Polaris Quantum Biotech,2020,"Durham, North Carolina, United States","Produce novel drug ""blueprints""",Optimize drug candidates identified through a quantum computing-driven search of large chemical datasets
ProteinQure,2017,"Toronto, Ontario, Canada","Target a wider array of binding sites, target diseases with high specificity, and create compounds that are easier to synthesize and test",Design protein drugs through reinforcement learning
Quantitative Medicine,2012,"Vero Beach, Florida, United States",Solve complex drug discovery optimization problems,"Analyze many drug discovery factors simultaneously, such as effects, side effects, and toxicity"
Qulab,2017,"Los Angeles, California, United States",Automate design of small molecule drugs,Perform de novo molecular design and molecular simulation
Relay Therapeutics,2016,"Cambridge, Massachusetts, United States",Design compounds that can target and stabilize proteins in a normal shape,Understand protein motion—how protein shape influences health and disease
Resonant Therapeutics,2014,"Santa Barbara, California, United States",Simultaneously discover novel targets and functional antibodies for cancer,Assess and prioritize a library of drug candidates derived from analyzing tumor microenvironments
SEngine Precision Medicine,2015,"Seattle, Washington, United States","Develop targeted therapies for the three most common cancer-causing genes MYC, TP53, and KRAS",Find novel small molecules that can bind and inhibit targets that are specific to cancer cells
SOM Biotech,2009,"Barcelona, Catalonia, Spain",Discover targets and lead candidates faster and more cost-effectively,Identify the mechanisms of action of molecules and the non-structural analogs of those molecules with similar biological activity
Sirenas,2011,"San Diego, California, United States","Find new therapeutic targets and biomarkers for diseases and aging, as well as novel compounds that can provide the foundation for new drugs","Analyze metabolomic and bioassay datasets to uncover insights into human health and disease, as well as potential new chemical scaffolds"
Spring Discovery,2017,"Palo Alto, California, United States",Uncover new therapies for diseases of aging by targeting the biological processes of aging itself,Accelerate experimentation for discovering therapies for aging and related diseases
Standigm,2015,"Seoul, Seoul-t'ukpyolsi, South Korea",Generate novel compounds satisfying desired properties and discover hidden indications and pathways,Analyze biomedical data to predict how drug compounds would interact with people in the real world
Systems Oncology,2016,"Scottsdale, Arizona, United States",Exploit novel cancer vulnerabilities with innovative treatments,Aggregate and mine disparate biomedical datasets to reveal novel vulnerabilities in cancer
TwoXAR,2014,"Mountain View, California, United States",Speed and reduce costs for drug discovery,"Screen compound libraries for efficacy against a disease, identify new drug candidates from a public library, and identify biologic targets"
Unnatural Products,2017,"Santa Cruz, California, United States",Develop drugs for currently undruggable targets,"Analyze data on prospective macrocycle therapies (which combine benefits of large biomolecules, such as high selectivity, with small molecules, such as ease of administration)"
Vaxine,2002,"Adelaide, South Australia, Australia","Develop more effective vaccines, with a particular focus on infectious diseases, allergies, and cancer",Screen compounds to use as vaccine adjuvants
Verge Genomics,2015,"San Francisco, California, United States",Find cures for complex diseases—especialy brain diseases—that involve a network of genes,"Map hundreds of genes that cause a disease, then find drugs that target all at once"
Vyasa,2016,"Newburyport, Massachusetts, United States","Mine data in electronic laboratory notebooks, find unexpected relationships between mechanisms of action and disease, and generate novel compounds optimized for specific variables",Analyze concepts in unstructured documents and perform advanced chemistry analysis
X-37,2019,"San Francisco, California, United States",Develop drugs for hard-to-target proteins with high therapeutic value,Perform structure-based drug design and discovery (using AtomNet from Atomwise)
Xbiome,2017,"Shenzhen, Guangdong, China",Modulate the microbiome to develop novel drugs,Analyze the gut microbiome
e-Therapeutics ,2003,"Hanborough, Oxfordshire, United Kingdom",Acquire or in-license drug candidates,Analyze complex networks of molecular interactions in cells
uBiome,2012,"San Francisco, California, United States",Develop new treatments inspired by novel insights into human-microbe relationships,Analyze data from the world's largest database of microbiomes in the world
Accutar,2015,"Shanghai, Shanghai, China","Predict drug pocket side chain conformation, drug docking, and chemical compound characteristics",Learn physical and chemical nature of biological systems from protein crystal structure data
Acellera,2006,"London, England, United Kingdom","Select better drug candidates, exclude toxic or reactive molecules, and improve ADMET profiles",Predict protein-ligand binding
Coral Genomics,2018,"San Francisco, California, United States","Predict patients unlikely to respond to novel drugs, discover new adjuvants, and discover new targets",Predict patient response to drugs from genomic data
InVivo AI,2018,"Montréal, Quebec, Canada",Reduce the time and cost of preclinical decision-making while increasing the likelihood of success for compounds selected for clinical trials,"Integrate structural, target, and pathway-based descriptors to generate toxicological profiles of small molecule drugs in silico"
Interprotein,2001,"Osaka, Osaka, Japan",Increase the success rate of small molecule drugs targeting protein-protein interactions,Predict the impact of ligands on protein-protein interactions
MediRita,2018,"Seoul, Seoul-t'ukpyolsi, South Korea",Predict drug efficacy and safety,"Analyze multiple data sources to produce what they call ""multi-omics based whole-body simulation"""
NetraMark,2015,"Toronto, Ontario, Canada","Match drugs to patients, with the potential to extract information from failing or failed clinical trials and revive the prospects for at-risk drugs",Understand how patient subpopulations respond to treatments
PEACCEL,2011,"Paris, Ile-de-France, France","Reduce cost, time, and risk associated with the discovery and engineering of proteins such as antibodies",Optimize protein and metabolic pathways
Reverie Labs,2017,"Boston, Massachusetts, United States",Accelerate preclinical drug development by generating and improving leads,"Predict potency and pharmacokinetic properties of small molecules, and conceive new molecules to optimize for them"
Synsight,2013,"Évry, Ile-de-France, France",Solve complex systems like protein-protein interactions and undersand modes of action in biological sytems,Analyze data from molecular modeling and high-content screening
